column,category,disposition,excluded_by,perm_importance,acc_stratified,acc_temporal,tau,tau_star,flagged_tau,flagged_tau_star,predictive,nested_acc_stratified,nested_acc_temporal,nested_tau,nested_rank,identical_group
FlowID,identifier,excluded,name,,,,,,,,,,,,,
AutoId,identifier,excluded,name,,,,,,,,,,,,,
SrcAddr,identifier,excluded,name,,,,,,,,,,,,,
DstAddr,identifier,excluded,name,,,,,,,,,,,,,
Ssaddr,identifier,excluded,name,,,,,,,,,,,,,
Sdaddr,identifier,excluded,name,,,,,,,,,,,,,
SrcMac,identifier,excluded,name,,,,,,,,,,,,,
DstMac,identifier,excluded,name,,,,,,,,,,,,,
SrcOui,identifier,excluded,name,,,,,,,,,,,,,
DstOui,identifier,excluded,name,,,,,,,,,,,,,
Sport,identifier,excluded,name,,,,,,,,,,,,,
Dport,identifier,excluded,name,,,,,,,,,,,,,
sIpId,identifier,excluded,name,,,,,,,,,,,,,
dIpId,identifier,excluded,name,,,,,,,,,,,,,
sMpls,identifier,excluded,name,,,,,,,,,,,,,
dMpls,identifier,excluded,name,,,,,,,,,,,,,
sAS,identifier,excluded,name,,,,,,,,,,,,,
dAS,identifier,excluded,name,,,,,,,,,,,,,
iAS,identifier,excluded,name,,,,,,,,,,,,,
sCo,identifier,excluded,name,,,,,,,,,,,,,
dCo,identifier,excluded,name,,,,,,,,,,,,,
sVid,identifier,excluded,name,,,,,,,,,,,,,
dVid,identifier,excluded,name,,,,,,,,,,,,,
StartTime,positional,excluded,name,,,,,,,,,,,,,
LastTime,positional,excluded,name,,,,,,,,,,,,,
Rank,positional,excluded,name,,,,,,,,,,,,,
Seq,positional,excluded,name,,,,,,,,,,,,,
Dur,behavioural,excluded,transferability rule,0.0000,0.922,0.304,0.33,0.1508,yes,yes,yes,0.9218,0.5742,0.6229,1,identical-1
RunTime,behavioural,excluded,transferability rule,0.0000,0.922,0.304,0.33,0.1508,yes,yes,yes,0.9218,0.5742,0.6229,2,identical-1
IdleTime,behavioural,retained,,0.2279,0.621,0.585,0.94,0.9156,no,no,yes,0.6184,0.6302,1.0191,37,
Mean,behavioural,excluded,transferability rule,0.0000,0.922,0.304,0.33,0.1508,yes,yes,yes,0.9218,0.5742,0.6229,3,identical-1
Sum,behavioural,excluded,transferability rule,0.0000,0.922,0.304,0.33,0.1508,yes,yes,yes,0.9218,0.5742,0.6229,4,identical-1
Min,behavioural,excluded,transferability rule,0.0000,0.922,0.304,0.33,0.1508,yes,yes,yes,0.9218,0.5742,0.6229,5,identical-1
Max,behavioural,excluded,transferability rule,0.0000,0.922,0.304,0.33,0.1508,yes,yes,yes,0.9218,0.5742,0.6229,6,identical-1
sTos,behavioural,retained,,0.0000,0.195,0.195,1.00,1.0000,no,no,no,0.1921,0.1946,1.0130,,
dTos,behavioural,retained,,0.0000,0.208,0.217,1.05,1.6532,no,no,no,0.2046,0.2059,1.0066,,
sTtl,behavioural,retained,,0.0000,0.201,0.205,1.02,1.5901,no,no,no,0.1983,0.2005,1.0112,,
dTtl,behavioural,retained,,0.0354,0.463,0.450,0.97,0.9516,no,no,no,0.4617,0.4851,1.0507,,
sHops,behavioural,retained,,0.0000,0.195,0.195,1.00,1.0000,no,no,no,0.1922,0.1946,1.0122,,
dHops,behavioural,retained,,0.0000,0.463,0.450,0.97,0.9516,no,no,no,0.4617,0.4851,1.0507,,
TotPkts,behavioural,retained,,0.0003,0.861,0.818,0.95,0.9355,no,no,yes,0.8624,0.7723,0.8955,19,
SrcPkts,behavioural,retained,,0.0000,0.835,0.816,0.98,0.9703,no,no,yes,0.8357,0.7424,0.8884,18,
DstPkts,behavioural,retained,,0.0000,0.849,0.845,1.00,0.9939,no,no,yes,0.8466,0.8157,0.9635,30,
TotBytes,behavioural,retained,,0.0000,0.939,0.884,0.94,0.9262,no,no,yes,0.9382,0.8714,0.9288,24,
SrcBytes,behavioural,retained,,0.0000,0.950,0.891,0.94,0.9219,no,no,yes,0.9504,0.8907,0.9372,26,
DstBytes,behavioural,retained,,0.0000,0.961,0.918,0.96,0.9439,no,no,yes,0.9608,0.9616,1.0008,35,
TotAppByte,behavioural,retained,,0.0000,0.761,0.723,0.95,0.9330,no,no,yes,0.7572,0.7519,0.9929,34,
SAppBytes,behavioural,retained,,0.0000,0.765,0.735,0.96,0.9474,no,no,yes,0.7635,0.7544,0.9880,33,
DAppBytes,behavioural,retained,,0.0000,0.609,0.587,0.96,0.9470,no,no,yes,0.6059,0.5835,0.9629,29,
PCRatio,behavioural,retained,,0.0000,0.727,0.688,0.95,0.9268,no,no,yes,0.7255,0.7280,1.0035,36,
Load,behavioural,retained,,0.0017,0.898,0.535,0.60,0.4842,no,yes,yes,0.8983,0.6995,0.7786,11,
SrcLoad,behavioural,retained,,0.0000,0.907,0.486,0.54,0.4094,no,yes,yes,0.9049,0.7478,0.8264,14,
DstLoad,behavioural,retained,,0.0000,0.834,0.486,0.58,0.4561,no,yes,yes,0.8306,0.6705,0.8072,12,
Loss,behavioural,retained,,0.0000,0.292,0.304,1.04,1.1227,no,no,no,0.2878,0.3085,1.0717,,
SrcLoss,behavioural,retained,,0.0000,0.272,0.289,1.06,1.2186,no,no,no,0.2673,0.2776,1.0385,,
DstLoss,behavioural,retained,,0.0000,0.236,0.222,0.94,0.6649,no,no,no,0.2312,0.2471,1.0691,,
pLoss,behavioural,retained,,0.0004,0.298,0.287,0.96,0.8940,no,no,no,0.2933,0.3197,1.0901,,
SrcGap,behavioural,retained,,0.0000,0.194,0.194,1.00,1.0000,no,no,no,0.1919,0.1943,1.0124,,
DstGap,behavioural,retained,,0.0000,0.194,0.194,1.00,1.0000,no,no,no,0.1917,0.1942,1.0133,,
Rate,behavioural,retained,,0.0000,0.917,0.532,0.58,0.4673,no,yes,yes,0.9162,0.7052,0.7697,10,
SrcRate,behavioural,retained,,0.0000,0.916,0.518,0.57,0.4486,no,yes,yes,0.9154,0.7698,0.8409,16,
DstRate,behavioural,retained,,0.0015,0.834,0.515,0.62,0.5014,no,no,yes,0.8305,0.6863,0.8263,13,
SIntPkt,behavioural,excluded,transferability rule,0.0000,0.957,0.468,0.49,0.3589,yes,yes,yes,0.9549,0.6677,0.6993,8,
SIntPktMin,behavioural,retained,,0.0000,0.938,0.764,0.81,0.7661,no,no,yes,0.9391,0.8731,0.9297,25,
SIntPktMax,behavioural,excluded,transferability rule,0.0000,0.963,0.412,0.43,0.2833,yes,yes,yes,0.9630,0.6497,0.6746,7,
SIntPktAct,behavioural,retained,,0.0000,0.722,0.730,1.01,1.0152,no,no,yes,0.7175,0.6645,0.9262,23,
SIntPktIdl,behavioural,retained,,0.0002,0.711,0.461,0.65,0.5162,no,no,yes,0.7089,0.5397,0.7614,9,
DIntPkt,behavioural,retained,,0.0000,0.863,0.686,0.79,0.7353,no,no,yes,0.8614,0.7968,0.9250,22,
DIntPktMin,behavioural,retained,,0.0000,0.432,0.427,0.99,0.9790,no,no,no,0.4313,0.4108,0.9524,,
